"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 22 02:50:46 UTC 2023","Fri Dec 22 02:51:03 UTC 2023","17492","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Dec 22 03:26:53 UTC 2023","Fri Dec 22 03:27:07 UTC 2023","14359","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Dec 22 03:55:00 UTC 2023","Fri Dec 22 03:55:09 UTC 2023","9549","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Fri Dec 22 02:47:07 UTC 2023","Fri Dec 22 02:47:14 UTC 2023","6628","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Fri Dec 22 02:43:03 UTC 2023","Fri Dec 22 02:43:23 UTC 2023","19490","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Dec 22 03:01:01 UTC 2023","Fri Dec 22 03:01:01 UTC 2023","374","","6. Company Account","","","","9. Review Final Review",""
"passed","Fri Dec 22 02:51:17 UTC 2023","Fri Dec 22 02:51:37 UTC 2023","20261","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Dec 22 02:57:48 UTC 2023","Fri Dec 22 02:58:10 UTC 2023","21793","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Fri Dec 22 02:58:10 UTC 2023","Fri Dec 22 02:58:12 UTC 2023","2428","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"skipped","Fri Dec 22 04:31:48 UTC 2023","Fri Dec 22 04:31:48 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Dec 22 03:32:11 UTC 2023","Fri Dec 22 03:32:26 UTC 2023","15339","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Fri Dec 22 02:39:13 UTC 2023","Fri Dec 22 02:39:18 UTC 2023","4885","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Fri Dec 22 02:36:21 UTC 2023","Fri Dec 22 02:36:43 UTC 2023","21446","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Fri Dec 22 02:36:43 UTC 2023","Fri Dec 22 02:36:52 UTC 2023","8854","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Fri Dec 22 03:27:19 UTC 2023","Fri Dec 22 03:27:44 UTC 2023","25015","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Fri Dec 22 04:01:31 UTC 2023","Fri Dec 22 04:01:58 UTC 2023","27092","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Fri Dec 22 03:58:49 UTC 2023","Fri Dec 22 03:58:58 UTC 2023","8568","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Dec 22 03:43:44 UTC 2023","Fri Dec 22 03:43:48 UTC 2023","3766","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Fri Dec 22 03:00:16 UTC 2023","Fri Dec 22 03:00:21 UTC 2023","4790","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Fri Dec 22 02:57:18 UTC 2023","Fri Dec 22 02:57:29 UTC 2023","10665","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Fri Dec 22 02:56:46 UTC 2023","Fri Dec 22 02:57:04 UTC 2023","18197","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Dec 22 03:54:44 UTC 2023","Fri Dec 22 03:55:00 UTC 2023","16256","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Dec 22 03:56:43 UTC 2023","Fri Dec 22 03:56:58 UTC 2023","15182","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Fri Dec 22 02:52:51 UTC 2023","Fri Dec 22 02:52:55 UTC 2023","3774","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Dec 22 02:51:37 UTC 2023","Fri Dec 22 02:51:43 UTC 2023","5924","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Dec 22 02:51:12 UTC 2023","Fri Dec 22 02:51:17 UTC 2023","5254","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Dec 22 03:37:57 UTC 2023","Fri Dec 22 03:38:07 UTC 2023","9628","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Dec 22 03:27:48 UTC 2023","Fri Dec 22 03:27:59 UTC 2023","11261","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Dec 22 04:04:37 UTC 2023","Fri Dec 22 04:05:42 UTC 2023","65412","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Fri Dec 22 03:43:54 UTC 2023","Fri Dec 22 03:43:56 UTC 2023","2594","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Fri Dec 22 04:03:42 UTC 2023","Fri Dec 22 04:03:46 UTC 2023","4016","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
